topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
3.163594503157053e-4,0.19144525644768579,3.163594503853706e-4,3.163594503017875e-4,3.163594503121392e-4,3.163594502639724e-4,0.00031635945027972306,3.163594503172224e-4,3.1635945026877495e-4,0.8060238679498695,text1045
2.4744041199824366e-4,2.474404120336426e-4,2.47440412057813e-4,2.474404120065278e-4,2.4744041212074614e-4,0.1029075327959462,0.8951129439077894,2.4744041203973645e-4,2.4744041199062903e-4,2.474404120169722e-4,text1046
0.726719180564923,2.4602994559658133e-4,0.11392941808947771,2.460299455408945e-4,2.4602994553736107e-4,2.460299455614367e-4,2.4602994559008354e-4,0.15762919172660908,2.460299455855857e-4,2.4602994557814566e-4,text1047
0.6801818116295457,0.23934716721730306,1.7514567133063952e-4,1.7514567128446387e-4,1.75145671288574e-4,1.7514567128434528e-4,0.07924500145407708,1.7514567133469146e-4,1.7514567126675055e-4,1.7514567128460888e-4,text1048
2.54742485241168e-4,0.9350374300291217,0.06292463008893971,2.547424852279716e-4,2.5474248528588664e-4,2.5474248520208697e-4,2.547424852873893e-4,2.547424852654587e-4,2.547424852114683e-4,2.547424852173151e-4,text1049
4.1329850925080004e-4,4.1329850935157084e-4,4.1329850939541093e-4,0.515851654330871,4.13298509419284e-4,0.3293359033674206,4.132985094074726e-4,4.132985093938717e-4,0.15191935273620433,4.132985092857642e-4,text105
1.9759699461565638e-4,0.2310229675395207,0.47288879268679657,1.9759699456985702e-4,1.9759699466456916e-4,0.235657786769039,0.05924487103687335,1.975969946721796e-4,1.9759699462483716e-4,1.9759699462333294e-4,text1050
2.888373434880027e-4,2.888373434333836e-4,0.573346574588011,2.888373433891285e-4,0.0853864429942684,0.33924512101368504,2.8883734347814606e-4,2.8883734343646775e-4,2.888373433803908e-4,2.888373434302423e-4,text1051
0.9976518824635965,2.609019484399045e-4,2.6090194856661855e-4,2.6090194845188746e-4,2.609019484829384e-4,2.6090194849357786e-4,2.609019485487052e-4,2.609019484596428e-4,2.609019484898266e-4,2.6090194847036926e-4,text1052
0.997734065119248,2.5177054226792084e-4,2.517705423375998e-4,2.5177054225790385e-4,2.517705423390399e-4,2.5177054236677043e-4,2.5177054228413997e-4,2.5177054229545074e-4,2.517705423062732e-4,2.51770542296885e-4,text1053
1.7877290280229506e-4,1.7877290278724974e-4,0.1575226582135613,1.7877290276814442e-4,1.7877290286259803e-4,1.7877290285539836e-4,0.8410471585639319,1.7877290283871915e-4,1.7877290279766703e-4,1.7877290279466924e-4,text1054
2.0222604160833422e-4,2.0222604162838776e-4,0.5374524165056381,0.46092977516149636,2.022260415875733e-4,2.022260415430573e-4,2.0222604163541908e-4,2.0222604160004975e-4,2.0222604165321832e-4,2.02226041609506e-4,text1055
2.302782840380258e-4,2.302782840491035e-4,0.41133643797401376,2.3027828401739271e-4,0.16260945797404044,0.2358300298053343,2.3027828406578676e-4,0.10854957402558806,0.0805231088008028,2.3027828405029234e-4,text1056
2.0413896305399221e-4,0.06963470150467117,2.0413896312065986e-4,2.0413896307717457e-4,2.0413896309079738e-4,2.0413896313262688e-4,0.9287321867905659,2.0413896309456122e-4,2.0413896310031944e-4,2.0413896309274385e-4,text1057
2.219877187563801e-4,2.2198771871650717e-4,0.07887530750920609,2.2198771876459343e-4,2.2198771877262176e-4,2.2198771873372042e-4,2.2198771875527965e-4,2.219877187350272e-4,0.6120277618654313,0.3075430165941284,text1058
0.9979051421404391,2.3276198434537084e-4,2.327619844373442e-4,2.3276198434789337e-4,2.3276198443841287e-4,2.3276198444840867e-4,2.327619844138556e-4,2.327619843914274e-4,2.3276198438717006e-4,2.3276198435111562e-4,text1059
3.9084306405601585e-4,0.3513095968661417,3.9084306400236595e-4,3.9084306427480833e-4,3.9084306422498534e-4,3.908430641312236e-4,3.908430641159419e-4,0.6455636586207086,3.908430641411125e-4,3.908430642032939e-4,text106
2.1216677979336485e-4,2.1216677981153855e-4,0.9980904989818289,2.1216677976958447e-4,2.1216677981085932e-4,2.1216677981031866e-4,2.1216677983802213e-4,2.12166779795878e-4,2.1216677977967889e-4,2.1216677976191252e-4,text1060
0.5153960670529403,2.2198771878343884e-4,2.21987718788592e-4,2.21987718686917e-4,0.28911033796030094,0.19393968095549147,2.2198771875975277e-4,2.2198771878888552e-4,2.2198771875920492e-4,2.2198771870053004e-4,text1061
1.5282081864502855e-4,1.5282081864063192e-4,0.006040505031007513,1.5282081859155654e-4,1.528208186358987e-4,1.528208186067809e-4,1.5282081872392553e-4,1.528208186419793e-4,0.9927369284199037,1.528208186029565e-4,text1062
0.9980324687309171,2.186145854612204e-4,2.1861458547409589e-4,2.186145854289648e-4,2.1861458544803844e-4,2.1861458546271344e-4,2.1861458549197327e-4,2.1861458539501963e-4,2.1861458548641123e-4,2.1861458543447084e-4,text1063
2.022260415724649e-4,0.2975593167859812,0.23616794623705759,2.022260415518756e-4,2.0222604158548585e-4,0.42329576079085995,2.0222604168377014e-4,0.04176361993659827,2.0222604153804613e-4,2.0222604157136667e-4,text1064
1.470919573912842e-4,1.470919574242564e-4,0.29356335236401726,1.4709195736577115e-4,1.4709195745701874e-4,1.470919574335525e-4,0.7052599119767833,1.470919573817157e-4,1.470919573771165e-4,1.470919573687225e-4,text1065
1.638430171919574e-4,1.6384301718636311e-4,0.9189726369565412,1.638430171559938e-4,0.07971661890594693,1.6384301721653147e-4,1.6384301721602054e-4,1.6384301721055055e-4,1.6384301716910888e-4,1.6384301716526817e-4,text1066
5.236028782268069e-4,5.23602878380402e-4,5.2360287830142e-4,0.15977866689693893,5.236028782993944e-4,0.8360325100767522,5.236028783990455e-4,5.236028783507228e-4,5.236028781677971e-4,5.236028781833803e-4,text107
3.7070198483683955e-4,3.70701984759723e-4,3.7070198471542235e-4,3.707019848686205e-4,0.08880907857170514,3.707019848521189e-4,0.413155025490608,3.7070198479342115e-4,3.7070198480067783e-4,0.49544098204406,text108
4.0175725540421474e-4,4.017572554846702e-4,4.0175725547068094e-4,0.6542820385219984,4.017572553881552e-4,0.18844506966509583,4.0175725549003986e-4,4.0175725547381136e-4,0.15446059102473064,4.017572554635351e-4,text109
1.9317512716620359e-4,1.9317512727701943e-4,1.9317512715901424e-4,0.2614277533418302,1.931751272199503e-4,1.931751272130338e-4,0.6192183443805814,1.9317512723190526e-4,0.11800167638710642,1.9317512721485914e-4,text11
4.340815624848971e-4,4.3408156281607007e-4,4.340815625382496e-4,0.18931379960872216,4.3408156268214595e-4,0.20079897738616997,0.6068486520667593,4.340815627591606e-4,4.340815624705252e-4,4.340815625974381e-4,text110
3.496788950515232e-4,3.496788950813471e-4,0.735931275429635,0.26127129340877897,3.496788953476373e-4,3.496788951975937e-4,3.49678895195519e-4,3.4967889519274135e-4,3.4967889530717776e-4,3.4967889521240846e-4,text111
3.675452369513322e-4,3.6754523713289106e-4,3.675452370001009e-4,0.058431694571613145,0.9386279435320402,3.675452371227557e-4,3.675452370934533e-4,3.6754523707469705e-4,3.675452369770064e-4,3.675452369944135e-4,text112
3.805061822613768e-4,0.12147713343050198,3.805061822731598e-4,0.6010792720853998,3.805061823458324e-4,3.8050618237564927e-4,0.27478005120776666,3.805061823819454e-4,3.8050618232277457e-4,3.8050618237081384e-4,text113
