topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
0.03327421677702205,2.720216745030885e-4,2.7202167425446325e-4,2.720216747297988e-4,0.9645496098272488,2.720216741941819e-4,2.7202167453685953e-4,2.720216748192907e-4,2.7202167444333116e-4,2.720216742482383e-4,text1010
0.11406702527993326,0.36353870708381136,0.2276785728599104,0.0959344352712379,3.305373309414236e-4,3.305373308571215e-4,3.305373310312368e-4,0.1971285728505743,3.3053733077994466e-4,3.305373309231443e-4,text1011
0.9115193914147652,2.6123089282527795e-4,2.6123089351367943e-4,0.08639076143952261,2.6123089309884574e-4,2.612308933473671e-4,2.612308932167856e-4,2.612308931460511e-4,2.6123089337200776e-4,2.6123089319213917e-4,text1012
0.4183371497618473,2.9651852025198885e-4,0.05630799357404356,0.1269198794595816,0.028483525677740266,2.965185200923872e-4,2.9651852000235385e-4,2.965185198295186e-4,2.9651852004072685e-4,0.36846885892657016,text1013
0.0905217342234183,0.26561493286246707,2.688486876832594e-4,0.32436641044428144,2.688486877604111e-4,2.688486878836291e-4,2.6884868779584835e-4,0.31788383034295425,2.6884868783289483e-4,2.6884868792280967e-4,text1014
2.7859776748396094e-4,0.25394378320469374,2.785977667515308e-4,2.7859776694683563e-4,2.785977669857311e-4,2.785977667282425e-4,2.785977670711476e-4,0.08496316385520611,2.785977667399423e-4,0.6591428685713927,text1015
3.6451607764010274e-4,3.6451607799689345e-4,3.645160774394414e-4,3.645160772103405e-4,0.05814197357204392,3.6451607741610044e-4,0.18106164012313883,3.645160779768327e-4,3.6451607754221365e-4,0.7582447737615953,text1016
0.1356241758611702,3.1260513737874925e-4,0.020932510791201966,3.126051371213118e-4,0.7547022725555728,3.126051372390324e-4,3.126051373230316e-4,3.126051375470727e-4,0.08686540996754875,3.126051378971711e-4,text1017
0.26676787142162495,3.1690326803472923e-4,0.011051738578927616,3.1690326783841334e-4,3.169032681579595e-4,3.169032676806701e-4,3.1690326802222274e-4,0.7199620671243848,3.1690326750445565e-4,3.169032678241177e-4,text1018
0.12155833988872732,2.7363642063162773e-4,2.7363642039592825e-4,0.021050255944182722,2.736364206010767e-4,2.736364210698541e-4,0.6331493377253442,0.06105234633367693,0.1618215380052358,2.736364201345406e-4,text1019
